Date,score,vote,weighted_votes
2021-02-01 08:00:00,-0.07129739301590513,-3.0,-1.4980788650073391
2021-02-01 16:00:00,0.0,0.0,0.0
2021-02-02 00:00:00,0.0,0.0,0.0
2021-02-02 08:00:00,-0.007113484232199671,0.0,0.05538832522297377
2021-02-02 16:00:00,0.0,0.0,0.0
2021-02-03 00:00:00,0.0,0.0,0.0
2021-02-03 08:00:00,-0.1231756336396857,-3.0,-1.8416840391731775
2021-02-03 16:00:00,0.0,0.0,0.0
2021-02-04 00:00:00,0.0,0.0,0.0
2021-02-04 08:00:00,-0.10770508078631794,-3.0,-1.4391961204618413
2021-02-04 16:00:00,0.0,0.0,0.0
2021-02-05 00:00:00,-0.0376211604194758,-1.0,-0.5308292135105244
2021-02-05 08:00:00,-0.13057811649744588,-3.0,-1.5384283833638652
2021-02-05 16:00:00,0.0,0.0,0.0
2021-02-06 00:00:00,0.0,0.0,0.0
2021-02-06 08:00:00,0.0,0.0,0.0
2021-02-06 16:00:00,0.0,0.0,0.0
2021-02-07 00:00:00,0.0,0.0,0.0
2021-02-07 08:00:00,0.0,0.0,0.0
2021-02-07 16:00:00,0.0,0.0,0.0
2021-02-08 00:00:00,0.0,0.0,0.0
2021-02-08 08:00:00,0.0,0.0,0.0
2021-02-08 16:00:00,0.0,0.0,0.0
2021-02-09 00:00:00,0.0,0.0,0.0
2021-02-09 08:00:00,0.0,0.0,0.0
2021-02-09 16:00:00,0.0,0.0,0.0
2021-02-10 00:00:00,0.0,0.0,0.0
2021-02-10 08:00:00,0.0,0.0,0.0
2021-02-10 16:00:00,0.0,0.0,0.0
2021-02-11 00:00:00,0.0,0.0,0.0
2021-02-11 08:00:00,0.0,0.0,0.0
2021-02-11 16:00:00,0.0,0.0,0.0
2021-02-12 00:00:00,0.0,0.0,0.0
2021-02-12 08:00:00,0.0,0.0,0.0
2021-02-12 16:00:00,0.0,0.0,0.0
2021-02-13 00:00:00,0.0,0.0,0.0
2021-02-13 08:00:00,0.0,0.0,0.0
2021-02-13 16:00:00,0.0,0.0,0.0
2021-02-14 00:00:00,0.0,0.0,0.0
2021-02-14 08:00:00,0.0,0.0,0.0
2021-02-14 16:00:00,0.0,0.0,0.0
2021-02-15 00:00:00,0.0,0.0,0.0
2021-02-15 08:00:00,0.0,0.0,0.0
2021-02-15 16:00:00,0.0,0.0,0.0
2021-02-16 00:00:00,0.0,0.0,0.0
2021-02-16 08:00:00,0.0,0.0,0.0
2021-02-16 16:00:00,0.0,0.0,0.0
2021-02-17 00:00:00,0.0,0.0,0.0
2021-02-17 08:00:00,0.0,0.0,0.0
2021-02-17 16:00:00,0.0,0.0,0.0
2021-02-18 00:00:00,0.0,0.0,0.0
2021-02-18 08:00:00,0.0,0.0,0.0
2021-02-18 16:00:00,0.0,0.0,0.0
2021-02-19 00:00:00,0.0,0.0,0.0
2021-02-19 08:00:00,0.03551318710475821,2.0,0.9686234486632754
2021-02-19 16:00:00,0.0,0.0,0.0
2021-02-20 00:00:00,0.0,0.0,0.0
2021-02-20 08:00:00,0.0,0.0,0.0
2021-02-20 16:00:00,0.0,0.0,0.0
2021-02-21 00:00:00,0.0,0.0,0.0
2021-02-21 08:00:00,0.0,0.0,0.0
2021-02-21 16:00:00,0.0,0.0,0.0
2021-02-22 00:00:00,0.0,0.0,0.0
2021-02-22 08:00:00,0.0,0.0,0.0
2021-02-22 16:00:00,0.0,0.0,0.0
2021-02-23 00:00:00,0.0,0.0,0.0
2021-02-23 08:00:00,0.0,0.0,0.0
2021-02-23 16:00:00,0.0,0.0,0.0
